tau=0.25
t=0 	x=0.1 	r_E=0.1 	Err=0
t=37.25 	r=3.4458 	r_E=3.44486 	Err=0.0105868
t=37.5 	r=3.45732 	r_E=3.45639 	Err=0.0105868
t=37.75 	r=3.46881 	r_E=3.46788 	Err=0.0105868
t=38 	r=3.48027 	r_E=3.47934 	Err=0.0105868
t=38.25 	r=3.49168 	r_E=3.49075 	Err=0.0105868
t=38.5 	r=3.50306 	r_E=3.50213 	Err=0.0105868
t=38.75 	r=3.5144 	r_E=3.51348 	Err=0.0105868
t=39 	r=3.5257 	r_E=3.52478 	Err=0.0105868
t=39.25 	r=3.53697 	r_E=3.53605 	Err=0.0105868
t=39.5 	r=3.5482 	r_E=3.54729 	Err=0.0105868
t=39.75 	r=3.55939 	r_E=3.55849 	Err=0.0105868
t=40 	r=3.57056 	r_E=3.56965 	Err=0.0105868
t=40.25 	r=3.58168 	r_E=3.58078 	Err=0.0105868
t=40.5 	r=3.59277 	r_E=3.59187 	Err=0.0105868
t=40.75 	r=3.60383 	r_E=3.60293 	Err=0.0105868
t=41 	r=3.61486 	r_E=3.61396 	Err=0.0105868
t=41.25 	r=3.62585 	r_E=3.62495 	Err=0.0105868
t=41.5 	r=3.6368 	r_E=3.63591 	Err=0.0105868
t=41.75 	r=3.64773 	r_E=3.64684 	Err=0.0105868
t=42 	r=3.65862 	r_E=3.65773 	Err=0.0105868
t=42.25 	r=3.66948 	r_E=3.6686 	Err=0.0105868
t=42.5 	r=3.6803 	r_E=3.67943 	Err=0.0105868
t=42.75 	r=3.6911 	r_E=3.69022 	Err=0.0105868
t=43 	r=3.70186 	r_E=3.70099 	Err=0.0105868
t=43.25 	r=3.7126 	r_E=3.71173 	Err=0.0105868
t=43.5 	r=3.7233 	r_E=3.72243 	Err=0.0105868
t=43.75 	r=3.73397 	r_E=3.7331 	Err=0.0105868
t=44 	r=3.74461 	r_E=3.74375 	Err=0.0105868
t=44.25 	r=3.75522 	r_E=3.75436 	Err=0.0105868
t=44.5 	r=3.7658 	r_E=3.76494 	Err=0.0105868
t=44.75 	r=3.77635 	r_E=3.7755 	Err=0.0105868
t=45 	r=3.78687 	r_E=3.78602 	Err=0.0105868
t=45.25 	r=3.79737 	r_E=3.79651 	Err=0.0105868
t=45.5 	r=3.80783 	r_E=3.80698 	Err=0.0105868
t=45.75 	r=3.81827 	r_E=3.81742 	Err=0.0105868
t=46 	r=3.82867 	r_E=3.82783 	Err=0.0105868
t=46.25 	r=3.83905 	r_E=3.83821 	Err=0.0105868
t=46.5 	r=3.8494 	r_E=3.84856 	Err=0.0105868
t=46.75 	r=3.85972 	r_E=3.85888 	Err=0.0105868
t=47 	r=3.87002 	r_E=3.86918 	Err=0.0105868
t=47.25 	r=3.88029 	r_E=3.87945 	Err=0.0105868
t=47.5 	r=3.89053 	r_E=3.88969 	Err=0.0105868
t=47.75 	r=3.90074 	r_E=3.89991 	Err=0.0105868
t=48 	r=3.91093 	r_E=3.9101 	Err=0.0105868
t=48.25 	r=3.92109 	r_E=3.92026 	Err=0.0105868
