tau=0.5
t=0 	r=0.1 	x_E=0.1 	Err=0
t=86.5 	r=5.32173 	r_E=5.24822 	Err=0.48449
t=87 	r=5.33669 	r_E=5.26336 	Err=0.48449
t=87.5 	r=5.3516 	r_E=5.27846 	Err=0.48449
t=88 	r=5.36647 	r_E=5.29351 	Err=0.48449
t=88.5 	r=5.3813 	r_E=5.30852 	Err=0.48449
t=89 	r=5.39609 	r_E=5.32349 	Err=0.48449
t=89.5 	r=5.41083 	r_E=5.33842 	Err=0.48449
t=90 	r=5.42554 	r_E=5.35331 	Err=0.48449
t=90.5 	r=5.44021 	r_E=5.36815 	Err=0.48449
t=91 	r=5.45483 	r_E=5.38295 	Err=0.48449
t=91.5 	r=5.46942 	r_E=5.39772 	Err=0.48449
t=92 	r=5.48397 	r_E=5.41244 	Err=0.48449
t=92.5 	r=5.49848 	r_E=5.42712 	Err=0.48449
t=93 	r=5.51296 	r_E=5.44177 	Err=0.48449
t=93.5 	r=5.52739 	r_E=5.45637 	Err=0.48449
t=94 	r=5.54179 	r_E=5.47093 	Err=0.48449
t=94.5 	r=5.55615 	r_E=5.48546 	Err=0.48449
t=95 	r=5.57047 	r_E=5.49995 	Err=0.48449
t=95.5 	r=5.58476 	r_E=5.5144 	Err=0.48449
t=96 	r=5.599 	r_E=5.52881 	Err=0.48449
t=96.5 	r=5.61322 	r_E=5.54319 	Err=0.48449
t=97 	r=5.62739 	r_E=5.55752 	Err=0.48449
t=97.5 	r=5.64154 	r_E=5.57182 	Err=0.48449
t=98 	r=5.65564 	r_E=5.58609 	Err=0.48449
t=98.5 	r=5.66971 	r_E=5.60031 	Err=0.48449
t=99 	r=5.68375 	r_E=5.61451 	Err=0.48449
t=99.5 	r=5.69775 	r_E=5.62866 	Err=0.48449
t=100 	r=5.71171 	r_E=5.64278 	Err=0.48449
t=100.5 	r=5.72565 	r_E=5.65687 	Err=0.48449
t=101 	r=5.73955 	r_E=5.67092 	Err=0.48449
t=101.5 	r=5.75341 	r_E=5.68493 	Err=0.48449
t=102 	r=5.76724 	r_E=5.69891 	Err=0.48449
t=102.5 	r=5.78104 	r_E=5.71286 	Err=0.48449
t=103 	r=5.7948 	r_E=5.72677 	Err=0.48449
t=103.5 	r=5.80854 	r_E=5.74065 	Err=0.48449
t=104 	r=5.82224 	r_E=5.7545 	Err=0.48449
t=104.5 	r=5.83591 	r_E=5.76831 	Err=0.48449
t=105 	r=5.84954 	r_E=5.78209 	Err=0.48449
t=105.5 	r=5.86314 	r_E=5.79583 	Err=0.48449
t=106 	r=5.87672 	r_E=5.80955 	Err=0.48449
t=106.5 	r=5.89026 	r_E=5.82323 	Err=0.48449
t=107 	r=5.90377 	r_E=5.83688 	Err=0.48449
t=107.5 	r=5.91725 	r_E=5.8505 	Err=0.48449
t=108 	r=5.9307 	r_E=5.86408 	Err=0.48449
t=108.5 	r=5.94411 	r_E=5.87764 	Err=0.48449
t=109 	r=5.9575 	r_E=5.89116 	Err=0.48449
t=109.5 	r=5.97086 	r_E=5.90465 	Err=0.48449
t=110 	r=5.98419 	r_E=5.91812 	Err=0.48449
t=110.5 	r=5.99748 	r_E=5.93155 	Err=0.48449
t=111 	r=6.01075 	r_E=5.94495 	Err=0.48449
t=111.5 	r=6.02399 	r_E=5.95832 	Err=0.48449
t=112 	r=6.0372 	r_E=5.97166 	Err=0.48449
t=112.5 	r=6.05038 	r_E=5.98497 	Err=0.48449
t=113 	r=6.06354 	r_E=5.99825 	Err=0.48449
t=113.5 	r=6.07666 	r_E=6.0115 	Err=0.48449
t=114 	r=6.08976 	r_E=6.02473 	Err=0.48449
t=114.5 	r=6.10282 	r_E=6.03792 	Err=0.48449
t=115 	r=6.11586 	r_E=6.05109 	Err=0.48449
t=115.5 	r=6.12887 	r_E=6.06422 	Err=0.48449
t=116 	r=6.14186 	r_E=6.07733 	Err=0.48449
t=116.5 	r=6.15481 	r_E=6.09041 	Err=0.48449
t=117 	r=6.16774 	r_E=6.10346 	Err=0.48449
t=117.5 	r=6.18065 	r_E=6.11649 	Err=0.48449
t=118 	r=6.19352 	r_E=6.12948 	Err=0.48449
t=118.5 	r=6.20637 	r_E=6.14245 	Err=0.48449
t=119 	r=6.21919 	r_E=6.15539 	Err=0.48449
t=119.5 	r=6.23199 	r_E=6.16831 	Err=0.48449
t=120 	r=6.24476 	r_E=6.1812 	Err=0.48449
t=120.5 	r=6.2575 	r_E=6.19406 	Err=0.48449
t=121 	r=6.27022 	r_E=6.20689 	Err=0.48449
t=121.5 	r=6.28291 	r_E=6.2197 	Err=0.48449
t=122 	r=6.29557 	r_E=6.23248 	Err=0.48449
t=122.5 	r=6.30821 	r_E=6.24524 	Err=0.48449
t=123 	r=6.32083 	r_E=6.25796 	Err=0.48449
t=123.5 	r=6.33342 	r_E=6.27067 	Err=0.48449
t=124 	r=6.34598 	r_E=6.28335 	Err=0.48449
t=124.5 	r=6.35852 	r_E=6.296 	Err=0.48449
t=125 	r=6.37104 	r_E=6.30862 	Err=0.48449
t=125.5 	r=6.38353 	r_E=6.32123 	Err=0.48449
t=126 	r=6.39599 	r_E=6.3338 	Err=0.48449
t=126.5 	r=6.40844 	r_E=6.34635 	Err=0.48449
t=127 	r=6.42085 	r_E=6.35888 	Err=0.48449
t=127.5 	r=6.43325 	r_E=6.37138 	Err=0.48449
t=128 	r=6.44562 	r_E=6.38386 	Err=0.48449
t=128.5 	r=6.45796 	r_E=6.39631 	Err=0.48449
t=129 	r=6.47029 	r_E=6.40874 	Err=0.48449
t=129.5 	r=6.48258 	r_E=6.42115 	Err=0.48449
t=130 	r=6.49486 	r_E=6.43353 	Err=0.48449
t=130.5 	r=6.50711 	r_E=6.44589 	Err=0.48449
t=131 	r=6.51934 	r_E=6.45822 	Err=0.48449
t=131.5 	r=6.53155 	r_E=6.47053 	Err=0.48449
t=132 	r=6.54373 	r_E=6.48282 	Err=0.48449
t=132.5 	r=6.55589 	r_E=6.49508 	Err=0.48449
t=133 	r=6.56803 	r_E=6.50732 	Err=0.48449
t=133.5 	r=6.58015 	r_E=6.51954 	Err=0.48449
t=134 	r=6.59224 	r_E=6.53173 	Err=0.48449
t=134.5 	r=6.60431 	r_E=6.5439 	Err=0.48449
t=135 	r=6.61636 	r_E=6.55605 	Err=0.48449
t=135.5 	r=6.62839 	r_E=6.56818 	Err=0.48449
t=136 	r=6.64039 	r_E=6.58028 	Err=0.48449
t=136.5 	r=6.65238 	r_E=6.59237 	Err=0.48449
t=137 	r=6.66434 	r_E=6.60443 	Err=0.48449
t=137.5 	r=6.67628 	r_E=6.61647 	Err=0.48449
t=138 	r=6.6882 	r_E=6.62848 	Err=0.48449
t=138.5 	r=6.7001 	r_E=6.64048 	Err=0.48449
t=139 	r=6.71198 	r_E=6.65245 	Err=0.48449
t=139.5 	r=6.72383 	r_E=6.6644 	Err=0.48449
t=140 	r=6.73567 	r_E=6.67633 	Err=0.48449
t=140.5 	r=6.74748 	r_E=6.68824 	Err=0.48449
t=141 	r=6.75928 	r_E=6.70013 	Err=0.48449
t=141.5 	r=6.77105 	r_E=6.71199 	Err=0.48449
t=142 	r=6.7828 	r_E=6.72384 	Err=0.48449
t=142.5 	r=6.79453 	r_E=6.73566 	Err=0.48449
t=143 	r=6.80624 	r_E=6.74747 	Err=0.48449
t=143.5 	r=6.81794 	r_E=6.75925 	Err=0.48449
