tau=0.5
t=0 	r=1 	x_E=1 	Err=0
t=75.5 	r=5.0162 	r_E=5.00324 	Err=0.0149418
t=76 	r=5.03207 	r_E=5.01912 	Err=0.0149418
t=76.5 	r=5.04788 	r_E=5.03495 	Err=0.0149418
t=77 	r=5.06365 	r_E=5.05073 	Err=0.0149418
t=77.5 	r=5.07936 	r_E=5.06646 	Err=0.0149418
t=78 	r=5.09503 	r_E=5.08214 	Err=0.0149418
t=78.5 	r=5.11065 	r_E=5.09778 	Err=0.0149418
t=79 	r=5.12622 	r_E=5.11336 	Err=0.0149418
t=79.5 	r=5.14174 	r_E=5.1289 	Err=0.0149418
t=80 	r=5.15722 	r_E=5.14439 	Err=0.0149418
t=80.5 	r=5.17265 	r_E=5.15984 	Err=0.0149418
t=81 	r=5.18803 	r_E=5.17524 	Err=0.0149418
t=81.5 	r=5.20337 	r_E=5.19059 	Err=0.0149418
t=82 	r=5.21867 	r_E=5.2059 	Err=0.0149418
t=82.5 	r=5.23391 	r_E=5.22117 	Err=0.0149418
t=83 	r=5.24912 	r_E=5.23638 	Err=0.0149418
t=83.5 	r=5.26428 	r_E=5.25156 	Err=0.0149418
t=84 	r=5.2794 	r_E=5.26669 	Err=0.0149418
t=84.5 	r=5.29447 	r_E=5.28178 	Err=0.0149418
t=85 	r=5.3095 	r_E=5.29682 	Err=0.0149418
t=85.5 	r=5.32449 	r_E=5.31183 	Err=0.0149418
t=86 	r=5.33943 	r_E=5.32679 	Err=0.0149418
t=86.5 	r=5.35434 	r_E=5.3417 	Err=0.0149418
t=87 	r=5.3692 	r_E=5.35658 	Err=0.0149418
t=87.5 	r=5.38402 	r_E=5.37142 	Err=0.0149418
t=88 	r=5.3988 	r_E=5.38621 	Err=0.0149418
t=88.5 	r=5.41354 	r_E=5.40097 	Err=0.0149418
t=89 	r=5.42824 	r_E=5.41568 	Err=0.0149418
t=89.5 	r=5.4429 	r_E=5.43035 	Err=0.0149418
t=90 	r=5.45752 	r_E=5.44499 	Err=0.0149418
t=90.5 	r=5.4721 	r_E=5.45958 	Err=0.0149418
t=91 	r=5.48664 	r_E=5.47414 	Err=0.0149418
t=91.5 	r=5.50115 	r_E=5.48866 	Err=0.0149418
t=92 	r=5.51561 	r_E=5.50314 	Err=0.0149418
t=92.5 	r=5.53004 	r_E=5.51758 	Err=0.0149418
t=93 	r=5.54443 	r_E=5.53198 	Err=0.0149418
t=93.5 	r=5.55878 	r_E=5.54635 	Err=0.0149418
t=94 	r=5.5731 	r_E=5.56068 	Err=0.0149418
t=94.5 	r=5.58738 	r_E=5.57497 	Err=0.0149418
t=95 	r=5.60162 	r_E=5.58923 	Err=0.0149418
t=95.5 	r=5.61583 	r_E=5.60344 	Err=0.0149418
t=96 	r=5.63 	r_E=5.61763 	Err=0.0149418
t=96.5 	r=5.64413 	r_E=5.63178 	Err=0.0149418
t=97 	r=5.65823 	r_E=5.64589 	Err=0.0149418
t=97.5 	r=5.67229 	r_E=5.65997 	Err=0.0149418
t=98 	r=5.68632 	r_E=5.67401 	Err=0.0149418
t=98.5 	r=5.70032 	r_E=5.68802 	Err=0.0149418
t=99 	r=5.71428 	r_E=5.70199 	Err=0.0149418
t=99.5 	r=5.7282 	r_E=5.71593 	Err=0.0149418
t=100 	r=5.7421 	r_E=5.72983 	Err=0.0149418
t=100.5 	r=5.75595 	r_E=5.7437 	Err=0.0149418
t=101 	r=5.76978 	r_E=5.75754 	Err=0.0149418
t=101.5 	r=5.78357 	r_E=5.77135 	Err=0.0149418
t=102 	r=5.79733 	r_E=5.78512 	Err=0.0149418
t=102.5 	r=5.81106 	r_E=5.79886 	Err=0.0149418
t=103 	r=5.82475 	r_E=5.81257 	Err=0.0149418
t=103.5 	r=5.83841 	r_E=5.82624 	Err=0.0149418
t=104 	r=5.85204 	r_E=5.83988 	Err=0.0149418
t=104.5 	r=5.86564 	r_E=5.85349 	Err=0.0149418
t=105 	r=5.87921 	r_E=5.86707 	Err=0.0149418
t=105.5 	r=5.89274 	r_E=5.88062 	Err=0.0149418
t=106 	r=5.90625 	r_E=5.89414 	Err=0.0149418
t=106.5 	r=5.91972 	r_E=5.90762 	Err=0.0149418
t=107 	r=5.93316 	r_E=5.92108 	Err=0.0149418
t=107.5 	r=5.94658 	r_E=5.9345 	Err=0.0149418
t=108 	r=5.95996 	r_E=5.9479 	Err=0.0149418
t=108.5 	r=5.97331 	r_E=5.96126 	Err=0.0149418
t=109 	r=5.98663 	r_E=5.97459 	Err=0.0149418
t=109.5 	r=5.99993 	r_E=5.9879 	Err=0.0149418
t=110 	r=6.01319 	r_E=6.00117 	Err=0.0149418
t=110.5 	r=6.02642 	r_E=6.01442 	Err=0.0149418
t=111 	r=6.03963 	r_E=6.02764 	Err=0.0149418
t=111.5 	r=6.0528 	r_E=6.04082 	Err=0.0149418
t=112 	r=6.06595 	r_E=6.05398 	Err=0.0149418
t=112.5 	r=6.07907 	r_E=6.06711 	Err=0.0149418
t=113 	r=6.09216 	r_E=6.08022 	Err=0.0149418
t=113.5 	r=6.10522 	r_E=6.09329 	Err=0.0149418
t=114 	r=6.11826 	r_E=6.10633 	Err=0.0149418
t=114.5 	r=6.13126 	r_E=6.11935 	Err=0.0149418
t=115 	r=6.14424 	r_E=6.13234 	Err=0.0149418
t=115.5 	r=6.15719 	r_E=6.14531 	Err=0.0149418
